Ime,Kategorija,Težavnost,Čas (min),Hranilna vrednost (kcal/100g),Koraki,Sestavine,Opis,Dolžina opisa (besede),Dolžina opisa (črke) 
Nadevane kroglice iz pire krompirja,Jesen,2,80,133,6,13,"Odlična ideja za prigrizek ali prilogo. Na videz povsem navadne kroglice iz pire krompirja v svoji notranjosti skrivajo slastno presenečenje. Izmislili so si jih Perujci, ki jim pravijo papa rellena.",30,170
Med z oreški in suhim sadjem,Božič in novo leto,1,45,396,3,7,"Poslastica, ki je lahko tudi čudovito doma izdelano darilo.",9,51
Pečena gos,Martinovo,2,220,166,6,5,"Bi se lotili pečenja gosi, pa mislite, da je to prezahtevno za vas? Brez strahu. Upoštevajte navodila v tem receptu in zagotovo vam bo uspelo!",25,118
Krompirjeva nabodala s slanino,Slovenska,1,38,196,3,6,"Ko pridejo gostje, jih lahko navdušimo z nabodali iz krompirja in slanine. Nad njimi bodo navdušeni tudi otroci!",18,95
Solata iz bulgurja in buč,Vegetarijanstvo,1,37,144,4,12,Lahka solata z jesenskim pridihom!,5,30
Bolonjska omaka,Italijanska,1,63,106,2,15,"Klasična italijanska mesna omaka, ki popestri marsikatero jed. Najboljše pa je to, da jo lahko pripravimo tudi vnaprej.",18,102
Pita iz špinače in pora,Vegetarijanstvo,2,85,235,4,17,"Svoje goste lahko razveselite tudi z domačo pito iz špinače in krhkega testa, ki vam ne bo vzela toliko časa, vseeno pa bo navdušila s prijetnim okusom.",27,126
Palačinke z bananami in karamelo,Banana na 1001 način,2,60,248,4,12,"Nimate časa za zapletene torte, kolače ali pite? Palačinke z nadevom iz banan in karamele so hitro pripravljene in tako slastne, da se lahko kosajo z vsako torto.",28,135
Pica iz listnatega testa,Zabava,1,32,184,3,6,"Pica, ki vam ne bo vzela veliko časa, pa vas bo vseeno navdušila s svojim okusom!",16,66
Korenčkove palačinke,Zelenjava,1,25,160,4,15,"Korenčki, skriti v palačinkah, so polni vitamina A. Otrokom bodo palačinke zelo všeč, a bi jim morda, dokler palačink ne pojedo do konca, raje zamolčali, da so iz korenja.",29,143
Gos z nadevom iz jabolk in kostanja,Martinovo,2,270,144,4,7,"Izvrsten recept, pri katerem martinovo gosko napolnimo z darovi narave. Okus jesenskih sadežev in hrustljavo meso ... potrebujete še kaj drugega? Nikar ne pozabite, da je martinovo pravzaprav tudi praznik vina, zato le hitro v klet po steklenico letošnjega!",39,219
Casserole iz stročjega fižola,Kuhinje,2,65,127,8,14,"Američani jed iz stročjega fižola tradicionalno postrežejo na zahvalni dan, ko se spomnijo, kako so jih pred davnimi časi Indijanci rešili pred lakoto. Jed lahko postrežemo kot prilogo, predjed ali glavno jed.",32,178
Šalotke v medeno-gorčični omaki,Božič in novo leto,1,27,163,3,5,S tako pripravljenimi šalotkami garniramo mesne in zelenjavne plošče ali pa jih postrežemo k slavnostni pečenki.,16,97
Cmočki iz svinjine v omaki,Slovenska,2,45,149,5,20,"Med tednom ni časa za zapletena kosila, zato receptov za preproste in hitre jedi, ki jih imajo radi vsi člani družine, nikoli ni preveč.",24,113
Krompir v srajčki,Pomlad,1,45,159,3,5,"Krompir, ki smo ga samo za vas zavili v slanino. Lahko ga ponudite ob posebnih priložnostih, prav tako pa bo poskrbel za pravo popestritev nedeljskega kosila!",26,133
Riž s piščancem in zelenjavo,Azijska,2,47,113,5,12,"Hitro pripravljena jed, v kateri se prepletajo okusi piščančjega mesa in izbrane zelenjave.",13,79
Medeni kolač,Kuhinje,2,50,329,3,10,"Medeni kolač pripravijo Židje za praznik Rosh Hashanah, židovsko novo leto. Zakaj ga ne bi pripravili tudi vi?",18,93
Mesna štruca s sirom,Meso,2,80,265,3,8,Naj vaše kosilo popestri mesna štruca z okusom po mocareli in parmezanu!,12,61
Sladko-kisle perutničke,Kuhinje,1,100,209,4,10,Za ljubitelje pekoče hrane: popestritev na vašem krožniku!,8,51
Klobasa z dušenim zeljem,Jesen,1,40,129,6,8,"Hitro pripravljeno, izjemno okusno, nasitno in še poceni kosilo.",9,56
Rebrca po ameriško,Meso,2,82,152,6,14,"Omaka, ki je nastala pod prsti ameriških kuharskih mojstrov, se izvrstno ujame s sveže pečenimi rebrci.",16,88
Rebrca z zeljno solato,Zima,2,111,191,4,15,"Preprost obrok, ki ga lahko dopolnimo z različnimi prilogami. Uživajte v okusu rebrc, ki so odete v izvrstno sojino omako!",20,103
Pikantne mesne kroglice,Meso,2,16,218,4,11,"Ponudimo jih lahko kot izvrstno začetno jed, skupaj z zelenjavo pa pikantne kroglice predstavljajo zelo zanimiv samostojen obrok.",18,112
Praznična nadevana gos,Martinovo,2,230,162,7,15,"Da bo pogostitev zares posebna in svečana, poskrbi nadevana pečena goska.",11,63
Lepljivi kolač,Zabava,1,60,352,5,13,"Kolač, s katerim ne smete biti sami doma. Obvezno povabite goste, preden se lotite priprave! In nikar ne zaklenite vrat!",20,101
Pikantna svinjska rebrca,Meso,2,268,269,6,8,"Rebrca bodo pravi hit, ko jih boste postregli. Med jedjo pa bodo zaradi odličnega okusa dobesedno 'zažgala'.",17,92
Casserole s klobaso in krompirjem,Meso,1,76,250,5,11,"Čas je, da pripravite enostavno kosilo, zato vam priporočamo, da izberete ta odličen recept.",14,79
Tajska omaka iz sladkih čilijev,Azijska,1,14,138,3,8,To preprosto sladko omako lahko uporabljamo kot prilogo k ocvrtim ali na žaru pečenim ribam ter spomladanskim zvitkom.,18,101
Reubenov casserole,Meso,2,80,204,4,11,Kosilo za ljubitelje posebnih jedi!,5,31
Casserole s šunko in testeninami,Meso,2,65,254,4,11,Pripravite si ga za kosilo in potešite lakoto.,8,39
Svinjska rebrca s čilijevo čokolado,Kuhinje,2,25,255,4,9,"Sočno meso, oblito s pikantno-sladko kombinacijo, je kot nalašč za popestritev jedilnika.",12,78
Svinjska rebrca z javorjevim sirupom,Kuhinje,2,55,252,4,9,Odlično pečena in s slastno marinado obogatena svinjska rebrca.,9,55
Pečena jetra z jabolki,Meso,2,35,117,4,11,"Pečena jetra z jabolki v sebi skrivajo vso paleto okusov in užitkov - slano, kislo, hrustljavo, mehko, masleno in omakasto.",20,104
Domači tabasko,Kuhinje,1,27,40,3,3,"Redka omaka tabasko (tabasco) je narejena iz rdečih podolgovatih čilijev sorte tabasco, ki so ostro pekočega okusa, s priokusom po zeleni. Za pripravo omake pa lahko uporabite katere koli podolgovate pekoče rdeče čilije.",33,188
Ocvrt mesni sir,Meso,2,26,287,3,7,Po dunajsko ocvrt mesni sir je priljubljena in hitro pripravljena jed. S prilogo iz krompirja in skledo solate bomo pripravili nadvse okusno kosilo.,23,126
Čilijevo olje,Kuhinje,1,5,324,2,2,"Čilijevo olje je vsestransko uporabno. Z njim lahko začinimo povsem običajne jedi ali pa ga uporabljamo za pripravo omak, marinad in solatnih polivk.",23,127
Prefinjene pokrovače,Na hitro,1,12,111,3,12,"Predjed, ki jo pripravimo z malo truda!",7,33
Harissa,Kuhinje,1,45,292,3,5,"To pekočo čilijevo omako uporabljajo po vsej severni Afriki, še zlasti pa je priljubljena v Tuniziji. Uporabljajo jo pri kuhanju različnih jedi ali kot polivko za jajčne jedi, kuskus in tagine. Praviloma je pripravljena iz posušenih čilijev, vendar jo lahko pripravimo tudi iz svežih.",44,241
Vražja piščančja bedra,Meso,2,47,240,3,12,Piščančja bedra za ljubitelje pikantnih jedi!,6,40
Sambal ulek,Azijska,1,15,39,3,3,"Sambal ulek je indonezijska čilijeva omaka. Pri doziranju bodite pazljivi, saj je omaka lahko zelo pekoča.",16,91
Predjed z bučnimi cvetovi,Vegetarijanstvo,1,18,76,3,8,"Ste vedeli, da so užitni tudi bučkini cvetovi? Seveda so, zato si čim prej privoščite to odlično skušnjavo!",18,90
Krompirjevi cmoki s slanino,Jesen,2,78,183,7,11,V odlično krompirjevo testo zavita popečena slanina z začimbami. Jed je značilna za nemške pokrajine ter je še kako priljubljena jeseni in pozimi.,23,124
Mesni sir,Meso,2,190,194,4,14,"Bavarci, ki to jed obožujejo, ji pravijo Leberkäse (jetrni sir). Zanimivo pa je, da v njej ni niti jeter niti sira ...",22,97
Piščančje prsi po mediteransko,Italijanska,1,29,76,4,12,"Piščančje prsi, ki smo jim dodali tipično mediteranske začimbe in svežo mocarelo!",12,70
Kakijev smoothie,Zdravo in vegi,1,10,127,2,5,Jeseni si zalogo vitaminov za zimo naberemo z zrelimi zlatimi jabolki. Hitro in enostavno se okrepčamo s smoothiji iz kakija. Super za zajtrk ali malico.,25,129
Borovničevi cmoki iz skutnega testa,Slovenska,2,60,225,4,8,"Zakaj ne bi tokrat napolnili vsem dobro znane skutne cmoke z borovnicami? Sladek okus in prelepa vijolična barva bosta razveselila vsakogar, ki si jih bo privoščil.",26,139
"Posladek s kakiji, mandlji in ledenko",Jesen,1,15,127,2,4,"Hitro pripravljen posladek, za katerega ne potrebujemo ne kuhalnika in ne pečice. Dovolj je hladilnik in nekaj dobre volje!",19,105
Kakijevi prigrizki,Zabava,2,37,161,3,6,"Barvno usklajeni prigrizki, nad katerimi bodo gostje zagotovo navdušeni. Lahko jih postrežemo tudi kot hladno predjed.",16,103
Kakijeva krema s smetano,Jesen,1,45,209,3,8,"Osvežilna sladica, za katero ne potrebujemo kuhalnika ali pečice. Pripravljena je hitro in enostavno, med gosti pa bo zagotovo požela navdušenje.",21,125
Piščanec z olivami in bučo,Meso,2,296,134,4,10,Le kdo bo tokrat zlata ptička? Piščanec z mediteranskim priokusom vas bo navdušil!,13,70
Kakijev kolač,Jesen,1,55,348,3,10,"Vitamini, božanski okus in spomin na nežno božajoče jesenske žarke ... Ko bi le dolgo trajalo!",16,79
Testenine s telečjimi zrezki,Slovenska,2,36,123,4,8,"Testenine, ki smo jih popestrili s svežo zelenjavo in telečjimi zrezki.",11,61
Jajčevci z mesom,Kuhinje,2,55,118,4,11,"Zdrav in zanimiv obrok, ki bo okusen tudi brez čilija.",10,45
Goveji žepki z meto,Kuhinje,2,95,254,7,22,"Ob vsakem ugrizu v slastno testo vas bo presenetil okus odličnega mesnega nadeva, ki ga bogatita okus mete in začimb.",20,98
Ramstek masalino skorjico,Meso,1,90,156,4,9,"Da bo meso še bolj sočno in bo imelo eksotičen pridih, ga odenite v skorjico iz začimbne mešanice.",18,81
Makaroni z jetrci in sirom,Slovenska,1,50,249,6,8,"Hitro pripravljeno nasitno kosilo. Tudi otroci bodo jedli, pa čeprav jetrca niso ravno njihova najljubša hrana!",16,96
Jetrne palačinke,Meso,1,35,135,4,7,"Preprosta in okusna jed, s katero boste neopazno podtaknili jetrca v prehrano svojih otrok.",14,78
Goveje kocke s testeninami,Italijanska,1,43,230,5,12,"Slastno in mehko meso, ki se odlično ujame s testeninami. Da pa bo jed še boljša, lahko testenine pripravimo sami.",20,95
Tatarski biftek s konjakom,Zabava,1,20,143,4,13,"Postrežemo ga takoj, saj tudi v hladilniku ne sme čakati več kot dve uri. Odlična ideja za predjed slavnostnega obeda.",20,99
Tikvenik,Jesen,2,50,283,4,6,"Hitro pripravljena bolgarska poslastica, poleg katere obvezno postrežemo močno turško kavo.",11,81
Mehiške lobanje,Mehiška,3,45,348,5,11,"Mehičani na dan mrtvih, Dia de los muertos, pripravijo pogostitev za svoje mrtve in žive. Noč preživijo na pokopališčih, se sladkajo in krepčajo z jedmi, igrajo na glasbila in brez žalosti 'družijo' s svojimi dragimi pokojnimi. K vsemu temu seveda sodijo tudi slaščice v obliki lobanj.",46,240
Ocvrti bučkini cvetovi,Poletje,2,14,123,3,9,"Ste vedeli, da so tudi bučkini cvetovi popolnoma užitni? Pripravite jih po našem receptu in se z njimi posladkajte!",19,97
Sladke bučne kockice,Mehiška,1,150,96,4,7,Slastna in preprosta srednjeameriška sladica. Mehičani obožujejo buče - z razlogom. Sladke buče (vendar brez smetane) tradicionalno pripravljajo za svoj praznik mrtvih 'Dia de los muertos'.,26,164
Mehiški kruh mrtvih,Mehiška,3,220,268,4,11,"Ta kruh je rahlo sladek. Mehičani ga svojim dragim pokojnikom ponudijo na posebnih oltarjih, ki jih pripravijo med praznikom mrtvih, katerega praznujejo od 31. oktobra do 2. novembra. Iz testa oblikujejo okraske v obliki kosti in z njimi okrasijo kruh.",40,213
Mesne kroglice s pršutom,Zabava,2,35,194,4,9,"Prikupne kroglice, ki jih ovijemo v rezino pršuta in začinimo z vejicami rožmarina. Postrežemo jih lahko kot prilogo ali kot samostojno jed. Gostje se jih zagotovo ne bodo branili!",29,152
Grška omleta,Vegetarijanstvo,1,25,108,4,10,"Omleta, katere priprava vam ne bo vzela preveč časa, s svojim bogastvom zelenjave pa vas bo napolnila s svežimi vitamini in minerali.",22,112
Pica s kmečkim pršutom,Zabava,1,32,207,3,8,"Izvrstna pica, ki si jo boste zapomnili po odličnem okusu.",10,49
Madridske mesne kroglice,Meso,2,45,157,5,20,"Kroglice so že zaradi svoje oblike nekaj posebnega, če pa jih boste dodali v omako iz oliv in paradižnika ter začinili z izbranimi začimbami, bo jed kaj kmalu pridobila priokus Španije.",31,155
Šči,Zima,2,240,84,5,14,"Rusi jedo šči, juho iz kislega zelja, že več kot 1000 let. Jedli so jo vsi sloji prebivalstva in za pripravo uporabljali skoraj povsem isti recept. V mnogih letih je iz osnovnega recepta nastalo veliko različic - tokrat predstavljamo eno od njih.",42,205
Krapki z dimljeno postrvjo,Zabava,2,50,295,5,14,"Nenavadno, drugačno, enostavno in okusno. Prigrizek z domišljijo, ki nas bo popeljala v svet čudovitih okusov.",16,95
Krapki s prekajenim lososom,Zabava,2,50,310,5,14,"Tako slastni prigrizki, kot so krapki, polnjeni s prefinjeno kremo, bodo šli za med. Presenetite svoje goste in uporabite naš recept.",21,113
Krema iz avokada,Vegetarijanstvo,1,10,223,2,8,"Ta namaz je nekaj posebnega, saj bo s svojo prijetno zeleno barvo popestril vsako zabavo ali pa zgolj navadno rezino kruha.",21,103
Španski ognjeni žepki,Zabava,2,70,119,4,12,"Naj vas oplazijo pikantne arome, ki bodo v kombinaciji z drugimi sestavinami pričarale čudovit okus.",15,86
Domače kislo zelje,Zelenjava,3,180,26,5,5,"Vlaganje zelja je nadvse enostaven postopek, zato ni nobenega razloga, da se ga ne bi lotili kar sami. Pomembno je, da pripravimo potrebne pripomočke in da je zelje, ki ga bomo kisali, zdravo, sveže in prave sorte.",37,178
Koktajl ognjenih zubljev,Pijača,1,10,47,2,3,Da vas na noč čarovnic ne bo strah in da boste lažje podžgali svojo dušo ter jo poživili.,18,72
Pečen pastinak z zelišči,Jesen,1,40,76,4,7,"Naj vas tokrat premamita okus in vonj zelišč v kombinaciji s pastinakom. Priloga, katero ne boste zlahka pozabili.",18,97
Kuhan pastinak,Zelenjava,1,25,71,3,6,"Slastna priloga, ki vas bo navdušila!",6,32
"Krapki s kozicami, slanino in šampinjoni",Zabava,2,67,59,5,13,"Priprava tega očarljivega prigrizka vam ne bo vzela preveč časa. Uživali boste v čudovitih okusih, vaši gostje pa bodo ostali brez besed.",22,116
Pastinakov čips,Zabava,1,25,75,3,3,Namesto krompirjevega čipsa lahko pripravite tudi čips iz pastinaka. Čips bo odličen in sladko-pikantnega okusa.,15,98
Švedske princeske,Zabava,2,110,412,5,13,"Švedske princeske ali semlor so na pogled podobne našim princeskam, vendar čudovito dišijo po kardamomu, napolnjene pa so z božanskim nadevom iz marcipana ...",24,135
Gratiniran pastinak,Zelenjava,1,30,170,3,6,"Le zakaj ne bi tokat postregli s prav posebno prilogo, ki bo zadišala, še preden jo boste postavili na mizo?",20,89
Princeske s smetano in jagodami,Zabava,2,50,173,4,9,"Priprava vam ne bo vzela preveč časa, okus pa je naravnost božanski!",12,57
Orehovi polži,Slovenska,2,165,420,5,14,"Če se bojite pripraviti potico, najprej poskusite z orehovimi polži. Zagotovo vam bodo uspeli in dali veselje, da se lotite še česa zahtevnejšega.",23,124
Profiteroli z mandlji in čokolado,Zabava,2,48,345,4,10,"Pripravljate zabavo in ste povabili več ljudi? Treba se bo znajti in pripraviti nekaj posebnega. Če ste se odločili, da boste za predjed pripravili polnjene krapke, a vam jih je nekaj še ostalo, jih lahko s pomočjo našega trika spremenite v sladico. V vsakem primeru: sladico za zasanjane je vredno preizkustiti!",51,262
Pastinakova juha z lešnikovim pestom,Jesen,1,45,167,5,14,"Odlična juha, ki vam bo še kako polepšala jesenske dni in vas tudi dodobro ogrela.",15,68
Prigrizki z jajčnim nadevom,Zabava,2,63,299,6,13,"Krapki z jajčnim nadevom in popečeno slanino so ljubki majhni prigrizki. V testo smo dodali jajčni nadev in vse skupaj okrasili s popečenimi rezinami slanine. To je hitra rešitev za trenutke, ko ne veste, kaj bi pripravili za večje število gostov. Tu je recept za 35 okusnih krapkov!",48,236
Pečen pastinak,Jesen,2,30,124,3,5,Odlična priloga k jesenskim dobrotam.,5,33
Kroglice iz kozjega sira,Vegetarijanstvo,1,9,456,2,5,Naj vam teknejo te čisto posebne kroglice. Pustite se jim zapeljati in uživajte v klasičnem okusu.,16,83
Pečen pastinak z javorjevim sirupom,Vegetarijanstvo,1,25,75,3,3,Pastinak je precej sladkast že sam po sebi. Prelit z javorjim sirupom lahko že skoraj nadomesti sladico.,17,88
Pita s paradižikom in mocarelo,Vegetarijanstvo,2,69,314,5,17,"Kdo si še upa trditi, da so mocarela, paradižnik in origano dobri le v solati!",15,64
Žajbljev čaj,Zdravo in vegi,1,16,302,2,5,"Napitek, ki obljublja obilo zdravja, saj lajša prebavne težave, kot so driska, zaprtost, napihnjenost in napenjanje. Z grgranjem pa si lahko pozdravimo tudi vnete dlesni ali žrelo.",27,154
Borovničev čaj,Zdravo in vegi,1,20,7,2,3,"Odličen prevretek, ki pomaga pri vnetju debelega črevesja.",8,51
Koprivov čaj,Pijača,1,14,273,2,3,"Uživajte ob srkanju domačega čaja iz posušenih koprivovih listov, ki bo pomagal odgnati utrujenost in slabo razpoloženje. Znano je, da tovrstni napitki blažijo vneto ustno votlino, zdravijo afte, preprečujejo previsoko količino sladkorja v krvi, pomagajo pa tudi pri zdravljenju angine!",40,247
Sirova plošča z medom,Zabava,1,10,334,2,7,"Prefinjena predjed, ki bo vašo slavnostno večerjo naredila še bolj nepozabno in okusno.",13,75
Juha iz rdeče paprike s pomarančo,Kuhinje,2,30,47,3,5,"Juha, ki vam bo razveselila čute z barvo rdečih paprik in mamljivo aromo pomaranče.",14,70
Palačinke z medom,Sladice,1,80,431,4,8,"Lahke, zdrave in nadvse okusne palačinke!",6,36
Tagliatelle z bučo,Italijanska,2,42,149,5,13,"Okusni špageti, obogateni z barvami jeseni in okusi, ki nas bodo popeljali v tople jesenske noči.",16,82
Svinjske hrenovke s pomfrijem,Slovenska,1,35,129,4,5,"Da bo hitro narejeno in okusno spečeno ter da bodo zadovoljni še otroci, posezite po hrenovkah.",16,80
